"genename","mutation","network","combine"
"NCOA1","0.71","1","0.83"
"TP53","1","0","0.6"
"PTP4A3","0.72","0","0.43"
"ACACB","0.71","0","0.43"
"ACVR2A","0.71","0","0.43"
"APC","0.71","0","0.43"
"COL6A3","0.71","0","0.43"
"DSC2","0.71","0","0.43"
"DYRK1A","0.71","0","0.43"
"FUBP1","0.71","0","0.43"
"GUSB","0.71","0","0.43"
"IGF2R","0.71","0","0.43"
"MAOB","0.71","0","0.43"
"MAP1S","0.71","0","0.43"
"MAP3K4","0.71","0","0.43"
"OR5D13","0.71","0","0.43"
"PIK3C2A","0.71","0","0.43"
"PTK2B","0.71","0","0.43"
"PTK6","0.71","0","0.43"
"PTPN21","0.71","0","0.43"
"SCAP","0.71","0","0.43"
"USP6","0.71","0","0.43"
"ZFYVE16","0.71","0","0.43"
"ZNF324","0.71","0","0.43"
"NEDD4","0.62","0","0.37"
"HIST1H2BM","0.62","0","0.37"
"ACTG1","0.61","0","0.37"
"PPEF1","0.59","0","0.35"
"FAP","0.59","0","0.35"
"OR2M5","0.59","0","0.35"
"PLK4","0.58","0","0.35"
"PDHA2","0.58","0","0.35"
"UBE2N","0.58","0","0.35"
"ACAT1","0.57","0","0.34"
"SYNJ2","0.56","0","0.34"
"KCNA7","0.56","0","0.34"
"HIST2H2AC","0.55","0","0.33"
"ARHGAP10","0.55","0","0.33"
"ABCB1","0.55","0","0.33"
"PPIE","0.54","0","0.32"
"HACE1","0.54","0","0.32"
"PRCP","0.54","0","0.32"
"RAB6A","0.54","0","0.32"
"ZNF169","0.53","0","0.32"
"GNAI1","0.53","0","0.32"
"MYO6","0.53","0","0.32"
"HSPA5","0.53","0","0.32"
"PRSS1","0.53","0","0.32"
"COL5A2","0.52","0","0.31"
"MYH2","0.52","0","0.31"
"EPHA3","0.52","0","0.31"
"RPL10A","0.52","0","0.31"
"ERBB4","0.51","0","0.31"
"AXIN1","0.51","0","0.31"
"HSPA1L","0.51","0","0.3"
"COL14A1","0.5","0","0.3"
"CAND2","0.5","0","0.3"
"PXN","0.5","0","0.3"
"P2RY4","0.49","0","0.3"
"PSMC4","0.49","0","0.3"
"L1CAM","0.49","0","0.29"
"PYGM","0.49","0","0.29"
"GPX1","0.48","0","0.29"
"OR7A10","0.48","0","0.29"
"ZNF302","0.47","0","0.28"
"SMG6","0.47","0","0.28"
"UCHL3","0.47","0","0.28"
"ITPR2","0.47","0","0.28"
"EIF4E1B","0.46","0","0.28"
"OR5D18","0.46","0","0.28"
"CACNA2D4","0.46","0","0.27"
"AKT2","0.45","0","0.27"
"RGS7","0.45","0","0.27"
"PAK1","0.45","0","0.27"
"SMC1B","0.44","0","0.27"
"TRIM3","0.43","0","0.26"
